resultId,raceId,driverId,constructorId,number
1048,66,23,5,20
1049,66,7,1,3
1050,66,32,13,18
1051,67,29,6,5
1052,67,7,1,3
1053,67,8,2,17
1054,67,20,4,2
1055,67,17,11,12
1056,67,21,11,11
1057,67,14,7,8
1058,67,1,2,16
1059,67,12,6,6
1060,67,16,3,9
1061,67,31,9,15
1062,67,13,9,14
1063,67,25,5,21
1064,67,23,5,20
1065,67,22,7,7
1066,67,10,8,22
1067,67,26,14,19
1068,67,32,14,18
1069,67,3,4,1
1070,67,36,1,4
1071,67,28,8,23
1072,67,2,3,10
1073,68,29,6,5
1074,68,3,4,1
1075,68,20,4,2
1076,68,17,11,12
1077,68,36,1,4
1078,68,21,11,11
1079,68,1,2,16
1080,68,16,3,9
1081,68,13,9,14
1082,68,23,5,20
1083,68,2,3,10
1084,68,37,9,15
1085,68,8,2,17
1086,68,25,5,21
1087,68,26,14,19
1088,68,28,8,23
1089,68,22,7,7
1090,68,12,6,6
1091,68,14,7,8
1092,68,32,14,18
1093,68,7,1,3
1094,68,10,8,22
1095,69,3,4,1
1096,69,12,6,6
1097,69,20,4,2
1098,69,17,11,12
1099,69,7,1,3
1100,69,14,7,8
1101,69,22,7,7
1102,69,1,2,16
1103,69,8,2,17
1104,69,2,3,10
1105,69,36,1,4
1106,69,21,11,11
1107,69,37,9,15
1108,69,23,5,20
1109,69,10,8,22
1110,69,32,14,18
1111,69,28,8,23
1112,69,25,5,21
1113,69,16,3,9
1114,69,29,6,5
1115,69,13,9,14
1116,69,26,14,19
1117,70,12,6,6
1118,70,3,4,1
1119,70,17,11,12
1120,70,29,6,5
1121,70,7,1,3
1122,70,20,4,2
1123,70,21,11,11
1124,70,36,1,4
1125,70,8,2,17
1126,70,10,8,22
1127,70,25,5,21
1128,70,37,9,15
1129,70,23,5,20
1130,70,26,14,19
1131,70,32,14,18
1132,70,28,8,23
1133,70,1,2,16
1134,70,13,9,14
1135,70,14,7,8
1136,70,22,7,7
1137,70,16,3,9
1138,70,2,3,10
1139,71,20,4,6
1140,71,21,6,2
1141,71,3,4,5
1142,71,13,9,14
1143,71,16,3,7
1144,71,30,1,10
1145,71,31,9,15
1146,71,7,1,9
1147,71,14,7,16
1148,71,12,15,12
1149,71,17,16,3
1150,71,22,7,17
1151,71,34,15,11
1152,71,10,16,4
1153,71,38,17,19
1154,71,32,17,18
1155,71,39,18,20
1156,71,29,6,1
1157,71,1,3,8
1158,71,26,18,21
1159,72,3,4,5
1160,72,14,7,16
1161,72,1,3,8
1162,72,30,1,10
1163,72,22,7,17
1164,72,13,9,14
1165,72,29,6,1
1166,72,31,9,15
1167,72,7,1,9
1168,72,12,15,12
1169,72,38,17,19
1170,72,32,17,18
1171,72,26,18,21
1172,72,21,6,2
1173,72,20,4,6
1174,72,16,3,7
1175,72,34,15,11
1176,72,17,16,3
1177,72,18,16,4
1178,72,39,18,20
1179,73,3,4,5
1180,73,14,7,16
1181,73,7,1,9
1182,73,22,7,17
1183,73,36,1,10
1184,73,16,3,7
1185,73,12,15,12
1186,73,13,9,14
1187,73,21,6,2
1188,73,32,17,18
1189,73,34,15,11
1190,73,39,18,20
1191,73,26,18,21
1192,73,17,16,3
1193,73,10,16,4
1194,73,1,3,8
1195,73,29,6,1
1196,73,20,4,6
1197,73,38,17,19
1198,73,31,9,15
1199,74,3,4,5
1200,74,29,6,1
1201,74,24,1,10
1202,74,34,15,11
1203,74,14,7,16
1204,74,1,3,8
1205,74,16,3,7
1206,74,23,9,15
1207,74,22,7,17
1208,74,12,15,12
1209,74,13,9,14
1210,74,38,17,19
1211,74,32,17,18
1212,74,26,18,21
1213,74,21,6,2
1214,74,7,1,9
1215,74,39,18,20
1216,74,20,4,6
1217,74,17,16,3
1218,74,10,16,4
1219,75,7,1,9
1220,75,3,4,5
1221,75,14,7,16
1222,75,22,7,17
1223,75,20,4,6
1224,75,16,3,7
1225,75,30,1,10
1226,75,13,9,14
1227,75,21,6,2
1228,75,1,3,8
1229,75,12,15,12
1230,75,32,17,18
1231,75,38,17,19
1232,75,34,15,11
1233,75,29,6,1
1234,75,26,18,21
1235,75,39,18,20
1236,75,23,9,15
1237,76,7,1,9
1238,76,1,3,8
1239,76,16,3,7
1240,76,3,4,5
1241,76,30,1,10
1242,76,22,7,17
1243,76,29,6,1
1244,76,21,6,2
1245,76,12,15,12
1246,76,14,7,16
1247,76,34,15,11
1248,76,20,4,6
1249,76,32,17,18
1250,76,26,18,21
1251,76,23,9,15
1252,76,39,18,20
1253,76,13,9,14
1254,76,38,17,19
1255,77,3,4,5
1256,77,1,3,8
1257,77,21,6,2
1258,77,13,9,14
1259,77,29,6,1
1260,77,20,4,6
1261,77,30,1,10
1262,77,14,7,16
1263,77,23,9,15
1264,77,17,16,3
1265,77,7,1,9
1266,77,10,16,4
1267,77,34,15,11
1268,77,12,15,12
1269,77,32,17,18
1270,77,38,17,19
1271,77,26,18,21
1272,77,39,18,20
1273,77,22,7,17
1274,77,16,3,7
1275,78,7,1,9
1276,78,29,6,1
1277,78,21,6,2
1278,78,12,15,12
1279,78,16,3,7
1280,78,22,7,17
1281,78,13,9,14
1282,78,31,9,15
1283,78,34,15,11
1284,78,32,17,18
1285,78,26,18,21
1286,78,14,7,16
1287,78,17,16,3
1288,78,1,3,8
1289,78,10,16,4
1290,78,39,18,20
1291,78,3,4,5
1292,78,20,4,6
1293,78,38,17,19
1294,78,30,1,10
1295,79,29,6,1
1296,79,21,6,2
1297,79,32,17,18
1298,79,38,17,19
1299,79,26,18,21
1300,79,39,18,20
1301,79,14,7,16
1302,79,7,1,9
1303,79,17,16,3
1304,79,20,4,6
1305,79,3,4,5
1306,79,10,16,4
1307,79,16,3,7
1308,79,12,15,12
1309,79,30,1,10
1310,79,34,15,11
1311,79,40,7,17
1312,79,31,9,15
1313,79,1,3,8
1314,79,13,9,14
1315,80,3,4,5
1316,80,7,1,9
1317,80,29,6,1
1318,80,17,16,3
1319,80,14,7,16
1320,80,20,4,6
1321,80,22,7,17
1322,80,34,15,11
1323,80,21,6,2
1324,80,13,9,14
1325,80,10,16,4
1326,80,16,3,7
1327,80,32,17,18
1328,80,1,3,8
1329,80,38,17,19
1330,80,30,1,10
1331,80,26,18,21
1332,80,39,18,20
1333,80,12,15,12
1334,80,31,9,15
1335,81,30,1,10
1336,81,3,4,5
1337,81,7,1,9
1338,81,20,4,6
1339,81,17,16,3
1340,81,29,6,1
1341,81,21,6,2
1342,81,22,7,17
1343,81,14,7,16
1344,81,12,15,12
1345,81,16,3,7
1346,81,1,3,8
1347,81,13,9,14
1348,81,34,15,11
1349,81,31,9,15
1350,81,10,16,4
1351,81,32,17,18
1352,81,26,18,21
1353,81,39,18,20
1354,81,38,17,19
